Model,Fold,Train Time (s),Pred Time (s),test_accuracy,train_accuracy,test_roc_auc,train_roc_auc,test_average_precision,train_average_precision,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall
XGBoost,1,0.09052586555480957,0.01091909408569336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,2,0.009984970092773438,0.00994729995727539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,3,0.011212348937988281,0.010567903518676758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,4,0.010341882705688477,0.009967327117919922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,5,0.009801149368286133,0.009971380233764648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,1,3.52433180809021,0.011919736862182617,0.18181818181818182,0.6818181818181818,0.3333333333333333,0.7094736842105263,0.8340227673561007,0.6708137693345637,0.0,0.5625,0.0,0.6923076923076923,0.0,0.47368421052631576
LightGBM,2,0.015767574310302734,0.01129770278930664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,3,0.01742696762084961,0.015409231185913086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,4,0.018483400344848633,0.017068147659301758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,5,0.016043901443481445,0.015614986419677734,0.36363636363636365,0.6136363636363636,0.22916666666666666,0.765263157894737,0.23095238095238096,0.7917444346981297,0.46153846153846156,0.711864406779661,0.3,0.6176470588235294,1.0,0.84
