Model,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,train_average_precision,test_average_precision,train_f1,test_f1,train_precision,test_precision,train_recall,test_recall
Logistic,0.76474,0.608791,0.764286,0.604762,0.703877,0.559396,0.75729,0.570299,0.777451,0.622778,0.742857,0.552381
SVC,0.564416,0.553846,0.557143,0.552381,0.538881,0.537436,0.155556,0.145455,0.161538,0.16,0.15,0.133333
DecisionTree,0.811558,0.450549,0.81045,0.445238,0.776827,0.494202,0.78829,0.367214,0.891775,0.447143,0.713757,0.347619
RandomForest,0.895,0.550549,0.894577,0.547619,0.859707,0.522888,0.890898,0.53,0.913886,0.527222,0.874868,0.552381
GradientBoosting,1.0,0.476923,1.0,0.47381,1.0,0.499032,1.0,0.466218,1.0,0.453571,1.0,0.490476
XGBoost,0.952792,0.524176,0.952646,0.521429,0.936515,0.519793,0.951767,0.460859,0.963187,0.530952,0.941005,0.414286
LightGBM,0.565325,0.449451,0.56455,0.445238,0.530011,0.471209,0.535075,0.323838,0.56498,0.402222,0.536243,0.290476
