Model,Fold,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,train_average_precision,test_average_precision,train_f1,test_f1,train_precision,test_precision,train_recall,test_recall
Logistic,1,0.7272727272727273,0.5714285714285714,0.7242063492063493,0.5714285714285714,0.6811447811447812,0.5476190476190477,0.6666666666666666,0.4,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.2857142857142857
Logistic,2,0.7636363636363637,0.6428571428571429,0.7612433862433863,0.6428571428571428,0.717003367003367,0.5892857142857143,0.723404255319149,0.6666666666666666,0.85,0.625,0.6296296296296297,0.7142857142857143
Logistic,3,0.7818181818181819,0.5,0.781084656084656,0.5,0.7198653198653199,0.5,0.7692307692307693,0.5333333333333333,0.8,0.5,0.7407407407407407,0.5714285714285714
Logistic,4,0.7636363636363637,0.5714285714285714,0.7632275132275133,0.5714285714285715,0.6970732970732971,0.5396825396825398,0.7547169811320755,0.625,0.7692307692307693,0.5555555555555556,0.7407407407407407,0.7142857142857143
Logistic,5,0.7321428571428571,0.5384615384615384,0.7321428571428572,0.5238095238095237,0.6719576719576719,0.47435897435897445,0.7272727272727273,0.4,0.7407407407407407,0.5,0.7142857142857143,0.3333333333333333
