Model,Fold,Train Time (s),Pred Time (s),test_accuracy,train_accuracy,test_roc_auc,train_roc_auc,test_average_precision,train_average_precision,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall
Logistic,1,0.0054357051849365234,0.009528160095214844,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,2,0.00533294677734375,0.008793354034423828,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,3,0.004967927932739258,0.00936746597290039,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,4,0.005290508270263672,0.009447813034057617,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,5,0.005135774612426758,0.009536981582641602,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1,0.004211902618408203,0.009282350540161133,0.9285714285714286,1.0,0.9166666666666666,1.0,0.8734126984126983,0.9999999999999999,0.9230769230769231,1.0,0.8571428571428571,1.0,1.0,1.0
SVC,2,0.004120588302612305,0.009122848510742188,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
SVC,3,0.004438877105712891,0.00923919677734375,0.9285714285714286,1.0,1.0,1.0,1.0,0.9999999999999999,0.9230769230769231,1.0,0.8571428571428571,1.0,1.0,1.0
SVC,4,0.0042934417724609375,0.009433269500732422,0.8571428571428571,1.0,0.9777777777777777,1.0,0.9666666666666666,0.9999999999999998,0.8333333333333334,1.0,0.7142857142857143,1.0,1.0,1.0
SVC,5,0.00408172607421875,0.010198354721069336,0.7692307692307693,1.0,0.8333333333333334,1.0,0.8857142857142857,1.0,0.7272727272727273,1.0,1.0,1.0,0.5714285714285714,1.0
DecisionTree,1,0.002828836441040039,0.009632349014282227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,2,0.0028688907623291016,0.00841069221496582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,3,0.0029306411743164062,0.008037567138671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,4,0.0028285980224609375,0.007935523986816406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,5,0.002964019775390625,0.008147239685058594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,1,0.06000399589538574,0.015512943267822266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,2,0.06085348129272461,0.08747315406799316,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,3,0.06016135215759277,0.015963315963745117,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,4,0.061258792877197266,0.016058683395385742,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,5,0.05988788604736328,0.01595306396484375,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,1,0.02745342254638672,0.00850367546081543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,2,0.028380393981933594,0.009091377258300781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,3,0.027106761932373047,0.008234739303588867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,4,0.02722930908203125,0.008163213729858398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,5,0.027416706085205078,0.009055614471435547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1,0.011980056762695312,0.01112675666809082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,2,0.015188455581665039,0.015300750732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,3,0.014995574951171875,0.011321783065795898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,4,0.010136127471923828,0.010677337646484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,5,0.011046648025512695,0.01500082015991211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,1,0.010138511657714844,0.01678323745727539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,2,0.012448310852050781,0.0156404972076416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,3,0.00913381576538086,0.016152620315551758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,4,0.012324333190917969,0.009567022323608398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,5,0.012445688247680664,0.012566566467285156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
