Model,Fold,train_neg_root_mean_squared_error,test_neg_root_mean_squared_error,train_neg_mean_absolute_error,test_neg_mean_absolute_error,train_r2,test_r2
ElasticNet,1,13.577665948108711,13.027289896347387,11.395056999403852,10.821087824331949,0.16493347592287777,0.04550445405833603
ElasticNet,2,14.02210171734455,11.524601621295863,12.014646451152325,8.554230571011196,0.15098884213018804,-0.22538235434931053
ElasticNet,3,13.842048078751732,12.092318476892798,11.29026367935906,11.248146226435153,0.15333974259875305,-0.009819390080922252
ElasticNet,4,12.23522940206054,17.878732533476242,10.120192256751897,15.262664139039744,0.21875654122613297,-0.1778316117593255
ElasticNet,5,13.328011193249223,14.488106128235993,10.947193171002198,12.404414087233913,0.059635374100262206,0.31370345640403274
