Model,Fold,train_neg_root_mean_squared_error,test_neg_root_mean_squared_error,train_neg_mean_absolute_error,test_neg_mean_absolute_error,train_r2,test_r2
Lasso,1,14.858144662437413,13.446448072316764,12.409917355371897,11.097402597402597,0.0,-0.01690623229522248
Lasso,2,14.084303555358288,11.458939522508489,12.106672017909165,8.503964583888065,0.14343973317418957,-0.2114587561748913
Lasso,3,15.043391783890904,12.72424569754249,12.287272727272729,11.707142857142856,0.0,-0.11812059017837484
Lasso,4,13.84263983804933,17.338741928545417,11.408925619834708,14.976623376623376,0.0,-0.10775805471275723
Lasso,5,13.744128500556007,17.784916606025483,11.425063775510205,15.219093406593409,0.0,-0.03417072718517433
