Model,Fold,Train Time (s),Pred Time (s),test_accuracy,train_accuracy,test_roc_auc,train_roc_auc,test_average_precision,train_average_precision,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall
Logistic,1,0.0063610076904296875,0.009925127029418945,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,2,0.00506281852722168,0.009484529495239258,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,3,0.0051882266998291016,0.009134769439697266,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,4,0.005191326141357422,0.009123563766479492,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
Logistic,5,0.005201816558837891,0.009372234344482422,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC,1,0.004382610321044922,0.009292840957641602,0.9285714285714286,1.0,0.9166666666666666,1.0,0.8734126984126983,0.9999999999999999,0.9230769230769231,1.0,0.8571428571428571,1.0,1.0,1.0
SVC,2,0.004077434539794922,0.008869171142578125,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
SVC,3,0.0043451786041259766,0.008842229843139648,0.9285714285714286,1.0,1.0,1.0,1.0,0.9999999999999999,0.9230769230769231,1.0,0.8571428571428571,1.0,1.0,1.0
SVC,4,0.004074811935424805,0.008992433547973633,0.8571428571428571,1.0,0.9777777777777777,1.0,0.9666666666666666,0.9999999999999998,0.8333333333333334,1.0,0.7142857142857143,1.0,1.0,1.0
SVC,5,0.0042934417724609375,0.009165048599243164,0.7692307692307693,1.0,0.8333333333333334,1.0,0.8857142857142857,1.0,0.7272727272727273,1.0,1.0,1.0,0.5714285714285714,1.0
DecisionTree,1,0.0031135082244873047,0.008468866348266602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,2,0.0034592151641845703,0.008272171020507812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,3,0.0029382705688476562,0.008069515228271484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,4,0.0034635066986083984,0.008796453475952148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,5,0.002819061279296875,0.008900880813598633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,1,0.06129622459411621,0.017148733139038086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,2,0.05986380577087402,0.01611018180847168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,3,0.06053018569946289,0.09126591682434082,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,4,0.06025123596191406,0.015903472900390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,5,0.05980539321899414,0.015458822250366211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,1,0.02674412727355957,0.00902414321899414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,2,0.027702808380126953,0.008389711380004883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,3,0.02839207649230957,0.008335590362548828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,4,0.027416706085205078,0.008899450302124023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,5,0.027148008346557617,0.008669137954711914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
