Model,Fold,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,train_average_precision,test_average_precision,train_f1,test_f1,train_precision,test_precision,train_recall,test_recall
LightGBM,1,0.5272727272727272,0.7142857142857143,0.5297619047619048,0.7142857142857143,0.5064935064935064,0.6363636363636364,0.5806451612903226,0.7777777777777778,0.5142857142857142,0.6363636363636364,0.6666666666666666,1.0
LightGBM,2,0.5454545454545454,0.5714285714285714,0.5476190476190477,0.5714285714285715,0.5165775401069519,0.5396825396825398,0.5901639344262295,0.625,0.5294117647058824,0.5555555555555556,0.6666666666666666,0.7142857142857143
LightGBM,3,0.5636363636363636,0.35714285714285715,0.5641534391534391,0.35714285714285715,0.5269476372924649,0.4464285714285714,0.5714285714285714,0.4,0.5517241379310345,0.375,0.5925925925925926,0.42857142857142855
LightGBM,4,0.6,0.42857142857142855,0.6025132275132276,0.42857142857142855,0.5505531505531506,0.46825396825396826,0.6451612903225806,0.5,0.5714285714285714,0.4444444444444444,0.7407407407407407,0.5714285714285714
LightGBM,5,0.5535714285714286,0.46153846153846156,0.5535714285714286,0.44047619047619047,0.5292207792207793,0.44017094017094016,0.5901639344262295,0.2222222222222222,0.5454545454545454,0.3333333333333333,0.6428571428571429,0.16666666666666666
