Model,Fold,train_neg_root_mean_squared_error,test_neg_root_mean_squared_error,train_neg_mean_absolute_error,test_neg_mean_absolute_error,train_r2,test_r2
LightGBM,1,14.27020846739544,13.04276471710892,11.592884295867066,11.496374216824789,0.07757413892170839,0.043235460205204634
LightGBM,2,14.102073388080553,13.649978648717262,11.778475871435464,11.085581860418342,0.14127696601377415,-0.7190310559991375
LightGBM,3,14.671246822568875,12.10013751992447,11.94122841491752,10.878003925043192,0.048864230432118405,-0.011125735766128741
LightGBM,4,12.87730024292879,19.697606017264658,10.495400302170841,17.13354040539226,0.13461013535272792,-0.42967276716481173
LightGBM,5,13.09924311642001,17.872146291029424,10.904724473178002,14.503200306759503,0.0916400218274257,-0.04434020014132001
