Model,Fold,train_neg_root_mean_squared_error,test_neg_root_mean_squared_error,train_neg_mean_absolute_error,test_neg_mean_absolute_error,train_r2,test_r2
Linear,1,11.36540612208161,20.481847178204486,9.31197408748488,13.418299208588524,0.4148856447467715,-1.3594131398588005
Linear,2,12.393347807599538,16.352998668914314,9.948111948735383,11.564309300086402,0.33676956500884625,-1.4672580884598294
Linear,3,12.067921687947589,14.730901457009097,9.016779930137243,13.517350860767326,0.35646312977303474,-0.49859127826568916
Linear,4,10.911661262026653,20.475111151280885,8.40696554812581,15.686004339111866,0.3786391131852437,-0.5447645252074025
Linear,5,12.42834433604578,25.67709429698507,9.917880821705326,16.422906683224614,0.18230349687995984,-1.1556603143730477
